,City,Lat,Lng,Max Temp,Country,Date
0,ust-nera,64.5667,143.2,-25.18,RU,1734587315
1,berriane,32.8265,3.7669,9.53,DZ,1734587316
2,qaqortoq,60.7167,-46.0333,-1.55,GL,1734587317
3,port saint john's,-31.6229,29.5448,21.0,ZA,1734587318
4,martaban,16.5314,97.6111,31.13,MM,1734587319
5,timimoun,29.2639,0.231,3.21,DZ,1734587320
6,wailua homesteads,22.0669,-159.378,23.44,US,1734587321
7,invercargill,-46.4,168.35,18.9,NZ,1734587322
8,bilibino,68.0546,166.4372,-28.53,RU,1734587323
9,edinburgh of the seven seas,-37.0676,-12.3116,14.07,SH,1734587325
10,vilyuchinsk,52.9306,158.4028,0.15,RU,1734587326
11,zalingei,12.9096,23.4741,22.46,SD,1734587327
12,grytviken,-54.2811,-36.5092,2.29,GS,1734587328
13,los arabos,22.7281,-80.7214,21.5,CU,1734587329
14,whitehorse,60.7161,-135.0538,-26.5,CA,1734587172
15,mata-utu,-13.2816,-176.1745,28.87,WF,1734587331
16,waitangi,-43.9535,-176.5597,13.79,NZ,1734587332
17,nikolayevsk-on-amure,53.1406,140.73,-20.04,RU,1734587333
18,blackmans bay,-43.0167,147.3167,19.29,AU,1734587334
19,westport,41.1415,-73.3579,7.33,US,1734587336
20,san carlos,9.6612,-68.5827,26.09,VE,1734587337
21,huarmey,-10.0681,-78.1522,19.25,PE,1734587338
22,port elizabeth,-33.918,25.5701,21.29,ZA,1734587339
23,stanley,54.868,-1.6985,2.51,GB,1734587340
24,egilsstadir,65.2653,-14.3948,-6.05,IS,1734587341
25,papatowai,-46.5619,169.4708,12.03,NZ,1734587342
26,iglino,54.8324,56.4126,-9.97,RU,1734587343
27,anadyr,64.75,177.4833,-0.72,RU,1734587344
28,byron bay,-28.65,153.6167,23.49,AU,1734587345
29,bamboo flat,11.7,92.7167,30.05,IN,1734587347
30,tsiombe,-25.3,45.4833,35.97,MG,1734587348
31,pisco,-13.7,-76.2167,20.03,PE,1734587349
32,adamstown,-25.066,-130.1015,21.47,PN,1734587350
33,ribeira grande,38.5167,-28.7,14.87,PT,1734587351
34,badger,64.8,-147.5333,-19.45,US,1734587352
35,vuktyl,63.8567,57.3094,-14.37,RU,1734587353
36,puerto natales,-51.7236,-72.4875,4.57,CL,1734587354
37,tazovsky,67.4667,78.7,-16.88,RU,1734587355
38,hermanus,-34.4187,19.2345,20.45,ZA,1734587356
39,colonia,50.9333,6.95,15.13,DE,1734587358
40,bouca,6.5105,18.2733,21.09,CF,1734587359
41,mar del plata,-38.0023,-57.5575,20.61,AR,1734587254
42,jiuquan,39.7432,98.5174,-2.28,CN,1734587361
43,plettenberg bay,-34.0527,23.3716,20.6,ZA,1734587362
44,bredasdorp,-34.5322,20.0403,19.59,ZA,1734587363
45,holualoa,19.6228,-155.9522,23.91,US,1734587364
46,simanggang,1.2472,111.4528,30.99,MY,1734587365
47,amarante do maranhao,-5.5667,-46.7422,21.99,BR,1734587366
48,susuman,62.7833,148.1667,-27.75,RU,1734587368
49,visakhapatnam,17.69,83.2093,26.94,IN,1734587197
50,ancud,-41.8697,-73.8203,9.75,CL,1734587370
51,la'ie,21.6477,-157.9253,25.98,US,1734587371
52,kodiak,57.79,-152.4072,3.73,US,1734587184
53,veraval,20.9,70.3667,24.58,IN,1734587373
54,suva,-18.1416,178.4415,27.71,FJ,1734587374
55,whistler,50.1164,-122.9695,0.1,CA,1734587375
56,chonchi,-42.6128,-73.8092,8.95,CL,1734587376
57,al ghayzah,16.2079,52.176,21.53,YE,1734587377
58,hamilton,39.1834,-84.5333,2.47,US,1734587379
59,thompson,55.7435,-97.8558,-27.91,CA,1734587380
60,kirakira,-10.4544,161.9205,30.07,SB,1734587381
61,kapuskasing,49.4169,-82.4331,-16.95,CA,1734587382
62,hithadhoo,-0.6,73.0833,27.82,MV,1734587383
63,uturoa,-16.7333,-151.4333,27.23,PF,1734587384
64,ushuaia,-54.8,-68.3,4.81,AR,1734587385
65,kingston,17.997,-76.7936,26.53,JM,1734587386
66,college,64.8569,-147.8028,-19.4,US,1734587388
67,broome,42.2506,-75.833,1.5,US,1734587390
68,sotik post,-0.7813,35.3416,19.05,KE,1734587391
69,albany,42.6001,-73.9662,3.13,US,1734587392
70,port-aux-francais,-49.35,70.2167,5.09,TF,1734587313
71,campo mourao,-24.0456,-52.3831,19.19,BR,1734587394
72,lihue,21.9789,-159.3672,23.77,US,1734587395
73,moncton,46.1159,-64.8019,3.22,CA,1734587396
74,iqaluit,63.7506,-68.5145,-27.95,CA,1734587397
75,queenstown,-31.8976,26.8753,16.71,ZA,1734587398
76,tolanaro,-25.0319,46.9987,30.04,MG,1734587400
77,page,36.9147,-111.4558,3.88,US,1734587402
78,yacuiba,-22.038,-63.6797,21.26,BO,1734587403
79,ilulissat,69.2167,-51.1,-9.99,GL,1734587404
80,talnakh,69.4865,88.3972,-13.48,RU,1734587405
81,south hedland,-20.4089,118.5983,36.96,AU,1734587406
82,bethel,41.3712,-73.414,6.12,US,1734587407
83,greenville,35.6127,-77.3663,17.97,US,1734587409
84,nyurba,63.2842,118.3319,-18.49,RU,1734587410
85,avarua,-21.2078,-159.775,26.03,CK,1734587411
86,fort bragg,35.139,-79.006,16.75,US,1734587237
87,san antonio de pale,-1.4014,5.6325,26.41,GQ,1734587413
88,port mathurin,-19.6833,63.4167,25.38,MU,1734587414
89,sao gabriel da cachoeira,-0.1303,-67.0892,22.62,BR,1734587415
90,selfoss,63.9331,-20.9971,-5.53,IS,1734587416
91,georgievka,49.3314,81.5761,-8.0,KZ,1734587418
92,kirensk,57.7853,108.1119,-18.98,RU,1734587419
93,villa huidobro,-34.8383,-64.5869,20.24,AR,1734587420
94,junin de los andes,-39.9504,-71.0694,7.77,AR,1734587421
95,longyearbyen,78.2186,15.6401,-9.09,SJ,1734587252
96,mana,5.6592,-53.7767,24.26,GF,1734587424
97,gorontalo,0.5412,123.0595,30.88,ID,1734587425
98,svay rieng,11.0879,105.7993,31.24,KH,1734587426
99,mweka,-4.85,21.5667,21.43,CD,1734587428
