,City,Country,Lat,Lng,Hotel Name
3,port saint john's,ZA,-31.6229,29.5448,Outback Inn
6,wailua homesteads,US,22.0669,-159.378,Hilton Garden Inn Kauai Wailua Bay
7,invercargill,NZ,-46.4,168.35,The Grand
11,zalingei,SD,12.9096,23.4741,No hotel found
13,los arabos,CU,22.7281,-80.7214,No hotel found
18,blackmans bay,AU,-43.0167,147.3167,Villa Howden
21,huarmey,PE,-10.0681,-78.1522,Hostal Santa Rosa
22,port elizabeth,ZA,-33.918,25.5701,Waterford Hotel
28,byron bay,AU,-28.65,153.6167,Lord Byron Resort
31,pisco,PE,-13.7,-76.2167,La Portada
32,adamstown,PN,-25.066,-130.1015,No hotel found
38,hermanus,ZA,-34.4187,19.2345,Aloe guest house
40,bouca,CF,6.5105,18.2733,No hotel found
41,mar del plata,AR,-38.0023,-57.5575,Hotel 3 de Abril
43,plettenberg bay,ZA,-34.0527,23.3716,Milkwood Manor
44,bredasdorp,ZA,-34.5322,20.0403,Victoria Hotel
45,holualoa,US,19.6228,-155.9522,Kona Hotel
47,amarante do maranhao,BR,-5.5667,-46.7422,No hotel found
51,la'ie,US,21.6477,-157.9253,No hotel found
53,veraval,IN,20.9,70.3667,Shyam
57,al ghayzah,YE,16.2079,52.176,فندق تاج العرب
68,sotik post,KE,-0.7813,35.3416,Brevan Hotel
71,campo mourao,BR,-24.0456,-52.3831,Hotel Loydi
72,lihue,US,21.9789,-159.3672,Kauai Palms
78,yacuiba,BO,-22.038,-63.6797,Residencial Balcarce
88,port mathurin,MU,-19.6833,63.4167,Escale Vacances
89,sao gabriel da cachoeira,BR,-0.1303,-67.0892,Hotel Deus Me Deu
93,villa huidobro,AR,-34.8383,-64.5869,No hotel found
96,mana,GF,5.6592,-53.7767,Le Samana
99,mweka,CD,-4.85,21.5667,No hotel found
101,remire-montjoly,GF,4.9167,-52.2667,Complexe Belova
102,gobabis,,-22.45,18.9667,Kalahari Convention Centre Hotel
103,luebo,CD,-5.35,21.4167,No hotel found
106,lichinga,MZ,-13.3128,35.2406,Residencial 2+1
108,estacion coahuila,MX,32.1939,-115.0017,No hotel found
110,copala,MX,16.65,-98.9833,No hotel found
